country,year,tourism_exports,gdp,inflation,unemployment
Armenia,2010,31.3931551143139,9260285755.62424,8.17636138473952,19.523
Australia,2010,11.6658934570685,1148838233480.72,2.91834002677376,5.214
Azerbaijan,2010,2.80505157204192,52909294791.9262,5.72687224669605,5.63
Belgium,2010,3.43357260990302,481556503720.001,2.18929920422457,8.293
Bulgaria,2010,15.0451175688797,50760929302.5147,2.43899060504113,10.279
Colombia,2010,7.42324775591558,286498534094.963,2.27200227892008,11.153
Costa Rica,2010,19.3862751896658,37658616951.8038,5.66275708420021,7.171
El Salvador,2010,12.9950648139083,18447920000.0,1.17933576873673,4.893
Finland,2010,4.69651300492071,249429613683.334,1.18413523154646,8.394
France,2010,7.91960906721051,2646230027988.34,1.53112270420926,9.279
Hungary,2010,6.15254132332775,132175349953.713,4.85555795691956,11.172
Indonesia,2010,4.57163230835854,755094157594.524,5.13420400767928,5.614
Japan,2010,1.76507846587625,5759071769013.11,-0.728243207517779,5.103
Kazakhstan,2010,1.85021473572077,148047348240.643,7.40046356341398,5.77
"Korea, Rep.",2010,2.61803851397098,1143672241149.72,2.93928652655686,3.324
Luxembourg,2010,5.26546816413962,56213985987.4168,2.2736791162154,4.423
"Macao SAR, China",2010,91.8920756803914,28241798491.593,2.80947242060845,2.84
Mauritius,2010,31.977689612984,10003670690.3497,2.9323630136986,7.654
Mexico,2010,3.93420158817669,1105424238731.09,4.15672722680174,5.303
Moldova,2010,11.3692741545825,6974982369.60155,7.48385086350852,2.937
Norway,2010,3.10661168252439,431052143940.438,2.41890639481001,3.527
Panama,2010,12.5021464959646,30231009500.0,3.491288726188,5.832
Paraguay,2010,2.13708802862784,27260886405.2263,4.65116279069765,4.569
Peru,2010,6.33379121618176,147527631520.729,1.52832059732901,3.596
Romania,2010,3.03567058894314,170064350671.827,6.09141668601891,6.959
Russian Federation,2010,2.99637976486963,1524916715223.95,6.84939230255025,7.407
Slovenia,2010,9.07956473301175,47793117240.9001,1.80117022137134,7.236
Sri Lanka,2010,9.40539693207484,58636161081.712,6.2176488930462,4.784
Turkiye,2010,16.7161031751577,776967266305.53,8.56644420552976,11.879
Ukraine,2010,7.15570048456405,141209170427.233,9.37293105078978,8.1
United States,2010,8.64278832082482,15048971000000.0,1.6400434423899,9.633
Armenia,2011,27.7878881740558,10142111824.5835,7.65000807859294,18.884
Australia,2011,10.3847080763534,1398610616772.97,3.3038501560874,5.083
Azerbaijan,2011,4.04980165286445,65952796427.9473,7.8583333333334,5.42
Belgium,2011,3.2910882065382,527196649048.639,3.53208210722742,7.14
Bulgaria,2011,12.6266818801973,57737040780.0157,4.21990346601873,11.26
Colombia,2011,5.92857718532515,334966134804.887,3.4150334477625,10.288
Costa Rica,2011,18.7877942757276,42762613698.9636,4.87799830970702,9.518
El Salvador,2011,12.4010050099472,20283780000.0,5.1289237668161,4.297
Finland,2011,5.2397901601975,275126915515.565,3.41680754255211,7.781
France,2011,8.02866539080314,2870408553990.28,2.11159795174994,9.228
Hungary,2011,5.917037893124,141942264554.475,3.9299209893507,11.029
Indonesia,2011,4.24325512410959,892969104529.572,5.3560477898215,5.153
Japan,2011,1.34667806656334,6233147172341.35,-0.27245561610124,4.55
Kazakhstan,2011,1.63168239041728,192626464617.071,8.452904661768,5.39
"Korea, Rep.",2011,2.55675685963746,1253289537500.81,4.0259650043609,2.992
Luxembourg,2011,5.36696197686872,61696281326.2453,3.41068341068342,5.122
"Macao SAR, China",2011,93.4860024389904,36845888757.1886,5.80624616691043,2.56
Mauritius,2011,31.0334939013675,11518413429.9684,6.5224925486934,7.447
Mexico,2011,3.33463295822329,1229013703416.76,3.40737824605742,5.175
Moldova,2011,9.23143366216577,8414352020.49442,7.6872510335618,2.648
Norway,2011,3.1913044082417,501360549669.404,1.28495158809152,3.196
Panama,2011,13.0992548220053,35687738300.0,5.8758024367877,3.922
Paraguay,2011,1.91752453717793,33756238766.5,8.2539682539683,4.67
Peru,2011,5.63462024559142,171761737046.585,3.36931095333853,3.477
Romania,2011,2.96999222484711,192623977894.173,5.7892532881588,7.177
Russian Federation,2011,2.95772158376095,2045922753398.04,8.4404648593257,6.571
Slovenia,2011,8.41274232799573,51199194599.3094,1.8028517194191,8.166
Sri Lanka,2011,10.4158267791566,67753284043.9282,6.7167684358854,4.118
Turkiye,2011,16.5001334081145,838785289694.35,6.471879671151,9.789
Ukraine,2011,6.46248744799885,169333835201.554,7.95572466274652,7.851
United States,2011,8.34757757669965,15599732000000.0,3.156841568622,8.949
Armenia,2012,29.2386499751569,10619320682.9474,2.55802007757907,17.511
Australia,2012,10.7510340819278,1547532281116.4,1.76278015613196,5.225
Azerbaijan,2012,7.17987469673957,69679944504.1972,1.06621339720303,5.19
Belgium,2012,3.36468924634579,498414364944.961,2.83966343445899,7.542
Bulgaria,2012,12.1693048801209,54288135058.7926,2.95456829831022,12.27
Colombia,2012,6.37583761092681,370691143018.039,3.16930188840055,9.959
Costa Rica,2012,18.3263881553045,47231655431.7355,4.49545314354605,9.11
El Salvador,2012,14.7293442763831,21386150000.0,1.72973481581383,3.843
Finland,2012,5.40510651915585,257443384492.969,2.80833622561574,7.689
France,2012,8.04452263905079,2683007095787.23,1.9541953161351,9.841
Hungary,2012,5.5594010222872,128814279315.132,5.65214517088646,11.003
Indonesia,2012,4.48469357179949,917869913364.917,4.27949999641975,4.468
Japan,2012,1.77284910800489,6272362996105.03,-0.0440645104432602,4.358
Kazakhstan,2012,2.33351255372693,207998568865.789,5.19568369035072,5.29
"Korea, Rep.",2012,2.65011656070303,1278046536287.01,2.18707104433314,2.812
Luxembourg,2012,5.28124318927209,59776383527.3602,2.66284165508021,5.03
"Macao SAR, China",2012,93.3390640436385,43189721376.9846,6.10738928336549,1.97
Mauritius,2012,29.3541838104691,11668696396.7887,3.85216033315973,7.472
Mexico,2012,3.36229969231267,1255110424817.79,4.11150981070289,4.892
Moldova,2012,10.3039860545336,8709138634.82921,4.54633427355293,2.151
Norway,2012,3.2876337986314,512777309840.997,0.696864111498362,3.129
Panama,2012,14.746606029223,41595439700.0,5.69819959165992,3.714
Paraguay,2012,2.29231037633154,33271921136.315,3.67591897974496,4.086
Peru,2012,5.9134600693305,192650021648.583,3.61121294940163,3.238
Romania,2012,2.97686564406179,179117323107.087,3.33492267693442,6.794
Russian Federation,2012,3.03099163513453,2208293553878.42,5.07474300799149,5.484
Slovenia,2012,8.23364689843443,46167053954.3367,2.59741386039003,8.841
Sri Lanka,2012,12.9370274874182,70447216891.3366,7.54291373239437,3.88
Turkiye,2012,14.9150908626995,880555885492.269,8.89156996512163,9.21
Ukraine,2012,6.92126311896066,182591753827.949,0.568727971803862,7.529
United States,2012,8.68151636541454,16253970000000.0,2.06933726526067,8.069
Armenia,2013,28.6822831302615,11121464437.0415,5.78966778544651,16.576
Australia,2013,10.5119937485361,1577123329410.88,2.4498886414254,5.663
Azerbaijan,2013,7.2900283188919,74160560123.6902,2.41571745279419,4.97
Belgium,2013,3.40767678417566,524097026598.55,1.1130959402754,8.425
Bulgaria,2013,12.2567548337751,55852123989.9504,0.890093540913002,12.941
Colombia,2013,7.02818340469642,382093697077.685,2.01699224310383,9.246
Costa Rica,2013,20.04995370882,50949668841.6696,5.23133614174428,8.218
El Salvador,2013,16.124125046108,21990960000.0,0.757669184522973,3.693
Finland,2013,5.58478203468048,270268036626.275,1.4782861568881,8.193
France,2013,7.75508073361311,2816077607875.26,0.863715497861805,9.913
Hungary,2013,5.75703185251257,135684315697.713,1.73319984983101,10.177
Indonesia,2013,5.02455380642221,912524136718.018,6.41251330156418,4.336
Japan,2013,2.03109971342358,5212328181166.18,0.335037912184741,4.038
Kazakhstan,2013,2.52482705132924,236634603409.089,5.94283871648418,5.2
"Korea, Rep.",2013,2.69593019429347,1370632955321.2,1.30134754547413,2.747
Luxembourg,2013,4.89123647935724,65203276466.9763,1.73403963519162,6.045
"Macao SAR, China",2013,93.6519859117127,51536595089.2793,5.50057779178484,1.82
Mauritius,2013,28.2171867253322,12292974141.4044,3.54329573934839,7.322
Mexico,2013,3.50647422938551,1327436290282.67,3.80639069747204,4.921
Moldova,2013,10.6555463105171,9496717875.51932,4.59787897363127,1.873
Norway,2013,3.51827615037674,526014468085.106,2.12048620353112,3.425
Panama,2013,17.8236058348545,46949496500.0,4.0271599157106,3.732
Paraguay,2013,2.02490282161071,38501122141.4241,2.68385738718582,4.385
Peru,2013,8.10810307261344,201175543571.392,2.76789666082002,3.575
Romania,2013,3.01904173538111,189798603751.235,3.9847123554813,7.096
Russian Federation,2013,3.41206639660246,2292470078346.22,6.75371026220942,5.513
Slovenia,2013,8.26538762029147,47867056858.8892,1.76920085881907,10.103
Sri Lanka,2013,16.6187724851372,77000578167.353,6.90845034828452,4.186
Turkiye,2013,16.2757415009127,957799120008.32,7.49309030547693,9.713
Ukraine,2013,7.2577980640977,190498811460.028,-0.238948626045407,7.17
United States,2013,9.21286537167917,16880683000000.0,1.46483265562717,7.375
Armenia,2014,29.9546872762266,11609513246.7958,2.98130868933672,17.499
Australia,2014,11.8870942729497,1468265356427.76,2.48792270531404,6.078
